epoch,train_loss,val_loss,lr
1,0.9995266442820312,1.3201843517476861,0.001
2,1.0083286811829368,1.3002315672961149,0.001
3,0.9564622235373725,1.2846984947811473,0.001
4,0.9413799405948107,1.2591568836298856,0.001
5,0.9223145746202364,1.252306617823514,0.001
6,0.8928522660785168,1.235414445400238,0.001
7,0.8983086515719841,1.2567622900009154,0.001
8,0.8678449640750129,1.2881705509532582,0.001
9,0.8611831430776751,1.2669074058532714,0.001
10,0.8659438552739314,1.3025913177837025,0.001
11,0.8640266390024388,1.273949848088351,0.001
12,0.8378526435695623,1.282399794621901,0.001
13,0.9077555969381106,1.2955698030645197,0.001
14,0.8602431958243133,1.277686319134452,0.0005
15,0.8242843261611442,1.3206679411367936,0.0005
16,0.802903468606967,1.3849394208734687,0.0005
17,0.8150574895545911,1.3446518913182346,0.0005
18,0.7947026921433239,1.4324183156273582,0.0005
19,0.7721672054327045,1.3939248423142867,0.0005
20,0.7522771280559987,1.4495750830390237,0.0005
21,0.7378470141989683,1.4500916908004067,0.0005
